,Epsilon,Q,Test return,Training return,network loss
0,0.9924,0.0,-21.0,-21.0,0.0
1,0.98371,0.0,-21.0,-21.0,0.0
2,0.97368,0.0,-21.0,-20.0,0.0
3,0.96208,0.0,-21.0,-19.0,0.0
4,0.95326,0.0,-21.0,-21.0,0.0
5,0.94227,0.0,-21.0,-18.0,0.0
6,0.93379,0.0,-21.0,-21.0,0.0
7,0.92557,0.0,-21.0,-21.0,0.0
8,0.91688,0.0,-21.0,-20.0,0.0
9,0.90715,0.0,-21.0,-20.0,0.0
10,0.89549,0.0,-21.0,-20.0,0.0
11,0.88685,0.0,-21.0,-20.0,0.0
12,0.87757,0.0,-21.0,-20.0,0.0
13,0.86995,0.0,-21.0,-21.0,0.0
14,0.86113,0.0,-21.0,-21.0,0.0
15,0.8529100000000001,0.0,-21.0,-21.0,0.0
16,0.84233,0.0,-21.0,-21.0,0.0
17,0.8325400000000001,0.0,-21.0,-20.0,0.0
18,0.82367,0.0,-21.0,-20.0,0.0
19,0.81516,0.0,-21.0,-21.0,0.0
20,0.80632,0.0,-21.0,-21.0,0.0
21,0.79649,0.0,-21.0,-20.0,0.0
22,0.78827,0.0,-21.0,-21.0,0.0
23,0.77977,0.0,-21.0,-21.0,0.0
24,0.77141,0.0,-21.0,-20.0,0.0
25,0.76259,0.0,-21.0,-21.0,0.0
26,0.7524,0.0,-21.0,-20.0,0.0
27,0.7441800000000001,0.0,-21.0,-21.0,0.0
28,0.73507,0.0,-21.0,-21.0,0.0
29,0.72551,0.0,-21.0,-20.0,0.0
30,0.71729,0.0,-21.0,-21.0,0.0
31,0.70907,0.0,-21.0,-21.0,0.0
32,0.70006,0.0,-21.0,-20.0,0.0
33,0.68882,0.0,-21.0,-21.0,0.0
34,0.6797,0.0,-21.0,-21.0,0.0
35,0.66993,0.0,-21.0,-20.0,0.0
36,0.66018,0.0,-21.0,-20.0,0.0
37,0.65256,0.0,-21.0,-21.0,0.0
38,0.6438999999999999,0.0,-21.0,-21.0,0.0
39,0.63304,0.0,-21.0,-19.0,0.0
40,0.62463,0.0,-21.0,-21.0,0.0
41,0.61532,0.0,-21.0,-19.0,0.0
42,0.6068100000000001,0.0,-21.0,-21.0,0.0
43,0.59781,0.0,-21.0,-21.0,0.0
44,0.5895900000000001,0.0,-21.0,-21.0,0.0
45,0.58123,0.0,-21.0,-20.0,0.0
46,0.5710299999999999,0.0,-21.0,-20.0,0.0
47,0.56313,0.0,-21.0,-21.0,0.0
48,0.55472,0.0,-21.0,-20.0,0.0
49,0.5463199999999999,0.0,-21.0,-20.0,0.0
50,0.53732,0.0,-21.0,-21.0,0.0
51,0.52822,0.0,-21.0,-21.0,0.0
52,0.51837,0.0,-21.0,-20.0,0.0
53,0.50911,0.0,-21.0,-20.0,0.0
54,0.5000899999999999,0.0,-21.0,-21.0,0.0
55,0.49060000000000004,0.0,-21.0,-20.0,0.0
56,0.48178,0.0,-21.0,-21.0,0.0
57,0.47307999999999995,0.0,-21.0,-20.0,0.0
58,0.46546,0.0,-21.0,-21.0,0.0
59,0.45726999999999995,0.0,-21.0,-21.0,0.0
60,0.44858,0.0,-21.0,-20.0,0.0
61,0.4404,0.0,-21.0,-21.0,0.0
62,0.43189999999999995,0.0,-21.0,-21.0,0.0
63,0.42295000000000005,0.0,-21.0,-20.0,0.0
64,0.41391999999999995,0.0,-21.0,-21.0,0.0
65,0.4063,0.0,-21.0,-21.0,0.0
66,0.39754,0.0,-21.0,-20.0,0.0
67,0.38964,0.0,-21.0,-21.0,0.0
68,0.38202,0.0,-21.0,-21.0,0.0
69,0.3738,0.0,-21.0,-21.0,0.0
70,0.36478,0.0,-21.0,-20.0,0.0
71,0.35716000000000003,0.0,-21.0,-21.0,0.0
72,0.34862000000000004,0.0,-21.0,-21.0,0.0
73,0.33977999999999997,0.0,-21.0,-21.0,0.0
74,0.33216,0.0,-21.0,-21.0,0.0
75,0.32284,0.0,-21.0,-21.0,0.0
76,0.31462,0.0,-21.0,-21.0,0.0
77,0.30559000000000003,0.0,-21.0,-21.0,0.0
78,0.29737,0.0,-21.0,-21.0,0.0
79,0.28795000000000004,0.0,-21.0,-20.0,0.0
80,0.27913,0.0,-21.0,-21.0,0.0
81,0.26952,0.0,-21.0,-21.0,0.0
82,0.26053000000000004,0.0,-21.0,-21.0,0.0
83,0.25051,0.0,-21.0,-19.0,0.0
84,0.24199000000000004,0.0,-21.0,-21.0,0.0
85,0.23375,0.0,-21.0,-21.0,0.0
86,0.22585,0.0,-21.0,-21.0,0.0
87,0.21572999999999998,0.0,-21.0,-20.0,0.0
88,0.20721,0.0,-21.0,-21.0,0.0
89,0.19809,0.0,-21.0,-21.0,0.0
90,0.18898000000000004,0.0,-21.0,-21.0,0.0
91,0.17979999999999996,0.0,-21.0,-19.0,0.0
92,0.17079999999999995,0.0,-21.0,-20.0,0.0
93,0.15922999999999998,0.0,-21.0,-19.0,0.0
94,0.15054999999999996,0.0,-21.0,-20.0,0.0
95,0.14119000000000004,0.0,-21.0,-20.0,0.0
96,0.13112000000000001,0.0,-21.0,-19.0,0.0
97,0.12272000000000005,0.0,-21.0,-20.0,0.0
98,0.11265999999999998,0.0,-21.0,-20.0,0.0
99,0.10270000000000001,0.0,-21.0,-19.0,0.0
100,0.09508000000000005,0.0,-21.0,-21.0,0.0
101,0.08401000000000003,0.0,-21.0,-19.0,0.0
102,0.07560999999999996,0.0,-21.0,-20.0,0.0
103,0.06740000000000002,0.0,-21.0,-21.0,0.0
104,0.05959000000000003,0.0,-21.0,-21.0,0.0
105,0.05076000000000003,0.0,-21.0,-21.0,0.0
106,0.041769999999999974,0.0,-21.0,-20.0,0.0
107,0.033359999999999945,0.0,-21.0,-20.0,0.0
